408	2315.80
400	988.60
625	2261.00
625	2859.10
400	1407.80
400	941.90
100	250.40
175	484.10
300	532.90
300	1194.30
100	271.80
100	378.20 
210	634.20
200	723.80 
160	263.40
137.5	353.70 
100	153.30
100	135.10
150	104.70
150	150.40 
100	186.10
40	205.50 
100	215.10
100	441.70 
100	197.20
100	339.70 
105	47.40
105	48.30 
200	54.60
200	62.00 
100	63.00
60	126.90
75	14.10
75	35.70 
50	78.30
50	285.60 
60	35.90
60	31.70 
100	152.30
100	128.40 
75	96.50
75	160.70 
10	127.80
10	129.10 
50	19.10
50	16.50 
100	93.50
100	50.60 
50	85.50
50	122.00 
100	11.90
100	27.70 
60	35.30
60	78.70 
60	80.90
60	90.40 
50	64.80
50	82.30 
66	21.50
66	132.80 
12	0.00
14	0.40 
50	22.20
50	174.30 
12	13.40
12	16.40 
50	40.60
50	56.00 
40	35.40
46	98.60 
10	12.70
10	11.50 
20	23.80
20	12.40 
50	33.70
21.60000038	57.80 
26.60000038	1.30
26.60000038	9.30 
12	17.50
12	30.70 
30	18.00
30	16.30 
20	34.00
20	61.60 
25	24.20
25	12.30
25	1.90
20	21.70 
20	11.50
20	29.80 
12.5	8.70
12.5	6.30 
30	7.60
20	4.40 
25	20.60
23	11.10
20	30.30
20	26.80 
50.40000153	1.10
50.40000153	1.20
30	5.40
30	8.10 
16	7.10
16	8.80 
26	2.60
8	9.10 
20	11.30 
20	22.20 
30	0.60 
15	1.30 
12.5	25.10
12.5	35.40 
15	14.10
20	53.90 
15	21.40
15	6.10 
10	5.90
10	3.00 
15	8.20
15	5.60 
30	7.10
25	7.30 
15	8.10
12.5	18.70 
10	3.80
10	3.10 
10	0.80
13.69999981	3.80 
25	21.00
25	36.80 
16	25.40
16	14.20 
16	16.00
16	14.60 
10	19.50
5	21.40 
20	9.40
20	12.00 
10	6.50
10	4.70 
15	0.90
15	0.70 
12.5	0.00
3.099999905	0.00 
20	27.10
20	30.90 
6	2.70
6	4.70 
6	7.70
6	12.30 
12	0.00
12	2.80 
10	2.70
10	1.80 
5	5.70
5	3.90 
15	3.70
15	3.60 
15	11.30
15	9.30 
40	8.00
40	7.00 
5	3.50
5	4.80 
20	7.00
10	12.20 
10	2.20
10	4.50 
10	2.40
10	4.70 
6	3.00
6	3.70 
10	3.20
10	1.00 
6	0.40
6	0.20 
16	5.50
7.5	5.50 
3.5	1.20
3.5	1.90 
5	8.50
5	7.90 
35	0.40
35	2.00 
12.5	2.50
12.5	2.10 
10	1.20
8	3.90 
5	1.10
5	1.70 
12.5	2.30
12.5	2.10 
2	3.60
2	11.80 
0.600000024	0.10
0.600000024	0.30 
10	3.80
3	7.70 
6.5	6.60
6.5	6.70 
8	0.70
8	0.50 
2.5	0.00
2.5	0.30 
3	3.50
3.099999905	3.10 
3.700000048	2.30
3.5	3.30 
3.5	7.00
4	3.50
4	5.40
4	4.80
4	4.50
4	6.50
4	6.50
4	5.60
4	4.40
4	6.40
4	4.90
4	7.70
4	4.00
4	5.00
4	5.00
4	2.10 
10	5.80
10	6.40 
10	0.50
10	0.40 
5	5.00
5	5.00 
5	2.80
5	3.20 
10	3.70
10	2.00 
5	4.50
5	2.50 
2.5	5.00
2.5	4.20 
4	4.60
4	4.30 
1.700000048	1.80
1.700000048	2.40 
1.200000048	0.30
1.200000048	0.10 
5	6.60
3.799999952	4.20 
1.600000024	2.70
1.799999952	3.20 
1.299999952	2.40
1.299999952	2.70 
1.399999976	1.30
1.399999976	1.50 
20	2.30
13	2.60 
4	2.90
4	2.60 
2.5	0.70
2.5	1.20 
5.199999809	3.30
5.199999809	1.60 
1.100000024	1.50
1.100000024	1.80 
2	0.40
2	0.90 
1	2.80
1	4.10 
1	1.40
1	2.70 
0.400000006	0.20
0.400000006	0.20 
3	0.70
3	1.70 
2	0.60
2	1.10
3.5	0.30
3.5	4.20  
